 -47.104, -46.139, -44.380, -48.080, 631.198, 630.008, 630.244, 630.871
 -35.258, -47.446, -47.639, -47.499, 618.952, 630.279, 629.974, 629.394
 -48.529, -48.114, -43.908, -48.545, 616.909, 629.223, 629.850, 627.765
 -35.248, -47.511, -46.231, -48.468, 607.722, 629.695, 630.367, 626.486
 -38.734, -46.390, -48.791, -46.369, 606.706, 629.670, 630.093, 627.839
 -27.428, -44.615, -46.992, -42.078, 596.167, 629.293, 630.305, 626.100
 -39.672, -44.477, -46.565, -46.295, 600.735, 630.070, 629.484, 625.740
 -31.581, -45.240, -46.225, -46.629, 590.475, 628.705, 628.328, 624.843
 -11.943, -42.804, -42.052, -43.290, 603.478, 627.721, 630.053, 624.367
  -1.587, -45.471, -44.267, -47.998, 598.049, 628.910, 629.442, 625.391
 -13.071, -46.676, -46.591, -44.557, 597.205, 626.138, 627.982, 614.248
  -5.687, -44.277, -40.670, -46.019, 591.205, 624.015, 623.582, 621.268
 -12.371, -43.725, -40.805, -44.701, 590.210, 625.210, 627.426, 619.969
  -4.124, -43.092, -41.940, -45.303, 585.063, 627.250, 627.425, 620.679
 -15.840, -45.141, -44.893, -43.806, 587.750, 624.335, 623.599, 618.588
  -7.912, -44.814, -43.591, -45.144, 580.386, 624.886, 623.012, 616.078
  42.326, -45.605, -44.197, -47.998, 570.690, 623.385, 624.720, 617.798
  49.273, -45.132, -45.250, -47.482, 565.254, 622.481, 624.379, 617.025
  40.190, -39.681, -38.508, -46.632, 564.651, 625.252, 626.302, 617.166
  43.973, -44.647, -41.126, -48.907, 560.383, 622.954, 615.852, 617.041
  39.793, -43.095, -41.747, -49.582, 557.044, 624.086, 627.829, 618.217
  46.101, -45.614, -42.597, -50.326, 554.593, 623.358, 623.709, 615.113
  36.063, -45.405, -42.959, -51.759, 554.717, 623.364, 624.800, 613.047
  42.416, -46.302, -45.818, -50.801, 548.542, 622.216, 624.809, 612.187
  59.291, -43.591, -37.648, -51.270, 565.951, 622.314, 625.559, 611.382
  66.206, -44.363, -38.436, -48.774, 561.837, 621.923, 624.977, 612.132
  59.231, -43.354, -41.144, -48.750, 562.757, 621.808, 624.552, 611.533
  63.431, -45.502, -40.522, -50.734, 556.884, 620.678, 624.603, 609.394
  56.973, -46.084, -42.318, -51.438, 557.220, 620.054, 624.620, 612.436
  63.875, -46.535, -39.489, -48.387, 550.953, 620.832, 625.460, 612.249
  54.645, -45.333, -39.787, -51.140, 556.445, 620.970, 625.251, 612.374
  63.877, -45.856, -40.645, -50.221, 551.727, 622.120, 626.563, 612.727
