0,32755,32767,32766,32757,
1,32767,32735,32733,32723,
2,32767,32763,32653,32716,
3,32767,32747,32645,32706,
4,32767,32730,32567,32644,
5,32767,32735,32569,32636,
6,32767,32761,32523,32654,
7,32764,32767,32524,32653,
8,32767,32681,32377,32555,
9,32767,32699,32397,32570,
10,32767,32740,32364,32595,
11,32767,32751,32375,32611,
12,32764,32767,32336,32563,
13,32765,32767,32327,32575,
14,32724,32767,32263,32556,
15,32699,32767,32260,32551,
16,32767,32348,32077,32324,
17,32767,32383,32093,32339,
18,32767,32410,32054,32397,
19,32767,32461,32094,32412,
20,32767,32441,32020,32389,
21,32767,32469,32028,32401,
22,32767,32511,32017,32442,
23,32767,32535,32022,32457,
24,32767,32475,31900,32373,
25,32767,32502,31906,32386,
26,32767,32532,31888,32428,
27,32767,32566,31895,32444,
28,32767,32565,31848,32409,
29,32767,32592,31864,32427,
30,32767,32634,31847,32461,
31,32767,32660,31849,32473#
